,source,author,title,description,urlToImage,publishedAt,content
0,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Anthony Ha,Daily Crunch: Apple announces a chip design center in Germany,"Apple is making a big investment in Germany, Russia takes aim at Twitter and Roblox goes public. This is your Daily Crunch for March 10, 2021. P.S. Don’t forget to sign up for TC Early Stage 2021, a virtual event focused on operations and fundraising that we’…",https://techcrunch.com/wp-content/uploads/2021/03/apple_germany-silicon-design-center_new-facility-rendering_03102021b.jpg?w=533,2021-03-10T23:25:29Z,"Apple is making a big investment in Germany, Russia takes aim at Twitter and Roblox goes public. This is your Daily Crunch for March 10, 2021.
P.S. Don’t forget to sign up for TC Early Stage 2021, a… [+3295 chars]"
1,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,"German Covid Easter U-turn shakes Merkel's cool, calm image",Chancellor Merkel takes political flak as Germany struggles to agree on lockdown measures.,https://ichef.bbci.co.uk/news/1024/branded_news/E84F/production/_117717495_mediaitem117717493.jpg,2021-03-27T01:14:27Z,"By Jenny HillBBC Berlin correspondent
image copyrightGetty Images
It's not often a world leader insists so openly on taking the blame. In newsrooms across Europe journalists looked on baffled as Ch… [+4654 chars]"
2,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Hamed Bakayoko: Ivory Coast's PM dies in Germany,"Hamed Bakayoko died of cancer, the authorities say, days after his 56th birthday.",https://ichef.bbci.co.uk/news/1024/branded_news/A822/production/_117524034_a95bf140-6256-4557-8b48-bbf90b7d8e81.jpg,2021-03-11T01:04:30Z,"image captionHamed Bakayoko was appointed prime minister in July, following the sudden death of his predecessor
The Prime Minister of Ivory Coast, Hamed Bakayoko, has died in a hospital in Germany, … [+1118 chars]"
3,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Covid: Germany to approve AstraZeneca vaccine for over-65s,Chancellor Merkel says The EU member is the latest country to reverse its policy on the vaccine's use on older people.,https://ichef.bbci.co.uk/news/1024/branded_news/16AB9/production/_117375829_mediaitem117375828.jpg,2021-03-04T05:15:58Z,"image captionGerman Chancellor Angela Merkel said the vaccine would be approved for older age groups
Germany is changing its stance on the Oxford-AstraZeneca vaccine, allowing over-65s to receive th… [+3364 chars]"
4,"{'id': None, 'name': 'New York Times'}",The New York Times,E.U. Approves 3 New Vaccine Production Sites,"Plants in the Netherlands, Switzerland and Germany will add to Europe’s lagging supplies. India’s pandemic economy has a new scourge: predatory lenders.",https://static01.nyt.com/images/2021/03/26/world/26virus-briefing-euvaccine/26virus-briefing-euvaccine-facebookJumbo.jpg,2021-03-27T13:51:41Z,"LiveUpdated March 27, 2021, 9:36 a.m. ET
March 27, 2021, 9:36 a.m. ET
Plants in the Netherlands, Switzerland and Germany will add to Europes lagging supplies. Indias pandemic economy has a new scou… [+9471 chars]"
5,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Mike Butcher,German InsureTech platform Hepster raises $10M Series A led by Element Ventures,"Hepster, an insurtech platform from Germany, has raised $10 million in a Series A funding led by Element Ventures. Also participating was Seventure Partners, MBMV, and GPS Ventures, as well as previous investors. The funds will be used to broaden the Hepster …",https://techcrunch.com/wp-content/uploads/2021/03/hepster.jpg?w=602,2021-03-04T18:40:37Z,"Hepster, an insurtech platform from Germany, has raised $10 million in a Series A funding led by Element Ventures. Also participating was Seventure Partners, MBMV, and GPS Ventures, as well as previo… [+1988 chars]"
6,"{'id': None, 'name': 'New York Times'}",Elian Peltier,"Sabine Schmitz, Racing Driver and TV Personality, Dies at 51",She was the only woman to win the epic 24-hour race at the storied Nürburgring track in Germany. She became a spirited presenter on the BBC show “Top Gear.”,https://static01.nyt.com/images/2021/03/17/world/17obit-Schmitz/17obit-Schmitz-facebookJumbo.jpg,2021-03-17T20:27:39Z,"For Sabine Schmitz, going to the storied Nürburgring car racing track in Western Germany was like going to school. Growing up near the track, one of the worlds most famous, she had always loved speed… [+1299 chars]"
7,"{'id': 'engadget', 'name': 'Engadget'}",Saqib Shah,Apple to invest over $1 billion in new Munich silicon facility,"Apple is pouring over €1 billion ($1.2 billion) into a huge R&D project in Munich, Germany, at the heart of which is a new European Silicon Design Center. The 30,000-square-meter facility will be home to the iPhone maker's expanding cellular division, which i…",https://s.yimg.com/uu/api/res/1.2/EOcVwuQhIVxUWLGSmoD5hg--~B/aD03MzU7dz05ODA7YXBwaWQ9eXRhY2h5b24-/https://s.yimg.com/os/creatr-uploaded-images/2021-03/34c46180-8189-11eb-abee-20d588bef169.cf.jpg,2021-03-10T10:30:13Z,"Apple is pouring over 1 billion ($1.2 billion) into a huge R&amp;D project in Munich, Germany, at the heart of which is a new European Silicon Design Center. The 30,000-square-meter facility will be … [+2055 chars]"
8,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,"Germany, Canada agree to explore green hydrogen development - Reuters",Germany and Canada agreed on Tuesday to explore the joint development of green hydrogen from Canadian hydroelectric power for export to Germany.,https://static.reuters.com/resources/r/?m=02&d=20210316&t=2&i=1555090661&r=LYNXMPEH2F19I&w=800,2021-03-16T15:43:00Z,"By Reuters Staff
FRANKFURT (Reuters) - Germany and Canada agreed on Tuesday to explore the joint development of green hydrogen from Canadian hydroelectric power for export to Germany.
FILE PHOTO: G… [+2142 chars]"
9,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Germany approves AstraZeneca for over-65s - Reuters,"Germany's vaccination authority has approved the use of AstraZeneca's coronavirus vaccine on the over-65s, the Health Ministry said in a statement on Thursday.",https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-03-04T11:53:00Z,"By Reuters Staff
BERLIN, March 4 (Reuters) - Germanys vaccination authority has approved the use of AstraZenecas coronavirus vaccine on the over-65s, the Health Ministry said in a statement on Thurs… [+425 chars]"
10,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Germany approves AstraZeneca for over-65s - Reuters,"Germany's vaccination authority has approved the use of AstraZeneca's coronavirus vaccine on the over-65s, the Health Ministry said in a statement on Thursday.",https://static.reuters.com/resources/r/?m=02&d=20210304&t=2&i=1553742096&r=LYNXMPEH230T1&w=800,2021-03-04T12:19:00Z,"By Reuters Staff
FILE PHOTO: A package of the AstraZeneca COVID-19 vaccine is shown in the state of Brandenburg where the first coronavirus vaccinations are given in doctors' surgeries, in Senftenbe… [+601 chars]"
11,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Covid vaccine: Germany urged to back AstraZeneca jab for over-65s,A senior German immunologist tells the BBC that his country should reverse its decision on the jab.,https://ichef.bbci.co.uk/news/1024/branded_news/8E28/production/_117329363_065063524.jpg,2021-02-28T00:23:14Z,"image captionGermany has not recommended the Oxford-AstraZeneca vaccine for older age groups
A senior German immunologist has urged his country to change its mind and start allowing over-65s to rece… [+3688 chars]"
12,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Germany to halt AstraZeneca vaccinations - Health Ministry - Reuters,"Germany will stop administering AstraZeneca's COVID-19 vaccine, a spokesman for the Health Ministry said on Monday, making Germany the latest of several European countries to pause following reports of recipients being taken ill.",https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-03-15T14:39:00Z,"By Reuters Staff
BERLIN, March 15 (Reuters) - Germany will stop administering AstraZenecas COVID-19 vaccine, a spokesman for the Health Ministry said on Monday, making Germany the latest of several … [+273 chars]"
13,"{'id': None, 'name': 'Gizmodo.com'}",Andrew Liszewski,Warehouse Robots That Deliberately Crash to Unload Packages Explains What Happened to My Fancy Vase,"Modern warehouses are a hive of frenetic activity as robots and humans move boxes around as quickly as possible. To shave a few precious seconds off a delivery, researchers in Germany have developed a high-speed robotic drone that unloads packages by delibera…","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/uzw8fbpmavzw87dfmp5d.gif",2021-03-18T17:10:00Z,"Modern warehouses are a hive of frenetic activity as robots and humans move boxes around as quickly as possible. To shave a few precious seconds off a delivery, researchers in Germany have developed … [+2883 chars]"
14,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Germany to halt AstraZeneca vaccinations - Health Ministry - Reuters,"Germany will stop administering AstraZeneca's COVID-19 vaccine, a spokesman for the Health Ministry said on Monday, making Germany the latest of several European countries to pause following reports of recipients being taken ill.",https://static.reuters.com/resources/r/?m=02&d=20210315&t=2&i=1554949443&r=LYNXMPEH2E14B&w=800,2021-03-15T14:46:00Z,"By Reuters Staff
FILE PHOTO: Health workers prepare syringes with the AstraZeneca vaccine against Covid-19 at a new vaccination centre inside the former Tempelhof airport in Berlin, Germany March 8,… [+1242 chars]"
15,"{'id': 'reuters', 'name': 'Reuters'}",,Germany to extend coronavirus lockdown until March 28 - draft - Reuters.com,Germany to extend coronavirus lockdown until March 28 - draft  Reuters.com,,2021-03-02T10:51:55Z,"A woman walks with her dog at the Volkspark Friedrichshain, amid the coronavirus disease (COVID-19) pandemic, in Berlin, Germany March 2, 2021. REUTERS/Annegret Hilse
Healthcare &amp; Pharmaceutical… [+1360 chars]"
16,"{'id': 'reuters', 'name': 'Reuters'}",,"Airbus to avoid redundancies in Germany, France, Britain - Reuters.com","Airbus to avoid redundancies in Germany, France, Britain  Reuters.com",,2021-03-04T12:15:50Z,"FILE PHOTO: The logo of Airbus is pictured at the entrance of the Airbus facility in Bouguenais, near Nantes, France, July 2, 2020. REUTERS/Stephane Mahe
reboot-live
Reuters Staff
BERLIN (Reuters)… [+1844 chars]"
17,"{'id': 'engadget', 'name': 'Engadget'}",https://www.engadget.com/about/editors/kris-holt,Sonos now has a 24-bit music streaming option,Qobuz is the first service to offer that level of audio streaming quality through Sonos speakers.,https://s.yimg.com/os/creatr-uploaded-images/2021-03/a8ff5190-7eb4-11eb-b3d7-baac4a7e9cb6,2021-03-24T13:00:56Z,Qobuz is bringing 24-bit high-res streaming to Sonos speakers. It's the first music service to offer that level of high-fidelity audio on the devices. Sonos added support for the French platform in t… [+500 chars]
18,"{'id': 'reuters', 'name': 'Reuters'}",,UPDATE 1-Germany pushes up record debt plans to more than 240 bln euros - sources - Reuters,UPDATE 1-Germany pushes up record debt plans to more than 240 bln euros - sources  Reuters,,2021-03-19T14:14:45Z,"Market News
Reuters Staff
(Adds details)
BERLIN, March 19 (Reuters) - Germany is working on a debt-financed supplementary budget of more than 60 billion euros ($71 billion) which will push up net … [+1910 chars]"
19,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Draft agreement confirms Germany plans to extend coronavirus lockdown - Reuters,"Germany plans to extend its coronavirus lockdown until March 28 but will allow small private gatherings from Monday, a draft agreement for talks between Chancellor Angela Merkel and leader of the federal states showed.",https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-03-02T10:27:00Z,"By Reuters Staff
BERLIN, March 2 (Reuters) - Germany plans to extend its coronavirus lockdown until March 28 but will allow small private gatherings from Monday, a draft agreement for talks between … [+654 chars]"
20,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,"Turkish turmoil, Germany lockdown extension hit European stocks - Reuters UK","A slump in Turkey's lira and worries about prolonged lockdowns in Germany pushed European stocks lower on Monday, with banks and travel shares taking the biggest hit.",https://static.reuters.com/resources/r/?m=02&d=20210322&t=2&i=1555716775&r=LYNXMPEH2L0L4&w=800,2021-03-22T08:26:00Z,"By Reuters Staff
FILE PHOTO: The German share price index DAX graph is pictured at the stock exchange in Frankfurt, Germany, March 19, 2021. REUTERS/Staff
(Reuters) - A slump in Turkeys lira and wo… [+1026 chars]"
21,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,"Norway, Germany to buy six submarines from Thyssenkrupp - Reuters","Norway will order four submarines from Germany's Thyssenkrupp for 45 billion crowns ($5.3 billion), while Germany will purchase another two, the defence ministries in Oslo and Berlin said on Tuesday.",https://static.reuters.com/resources/r/?m=02&d=20210323&t=2&i=1555940538&r=LYNXMPEH2M1JJ&w=800,2021-03-23T20:05:00Z,"By Reuters Staff
FILE PHOTO: A logo of Thyssenkrupp AG is pictured at the company's headquarters in Essen, Germany, November 21, 2018. REUTERS/Thilo Schmuelgen/File Photo
OSLO (Reuters) - Norway wi… [+1023 chars]"
22,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,UPDATE 1-France and Germany to require COVID-19 test for some border crossings - Reuters,"France and Germany have agreed that people crossing the border between the French region of Moselle and Germany will have to have proof of a negative COVID-19 antigen test in the previous 48 hours, French Europe Minister Clement Beaune said on Sunday.",https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-02-28T20:45:00Z,"By Reuters Staff
(Updates with comment on antigen tests)
PARIS, Feb 28 (Reuters) - France and Germany have agreed that people crossing the border between the French region of Moselle and Germany wi… [+1793 chars]"
